food;wine;Merchandise;Artikel;WGR;WGR_TEXT;Bontext_German;Bontext_English;origin_country_code;origin_country_ISOCODE;origin_country_tarif_no;purchase_price;sale_price;quantity;Artikelgewicht;Positionsgewicht;0;ean;pwert_end;3;4õûÕÛ
NO;NO;NO;10189469;1;Sortiment;MRS. WINTERBOTTOM'S Kartoffeleimer;MRS. WINTERBOTTOM'S potato bucket;52;TR;83062900;7,84;24,9;2;1,61;3,22;;4035644872221;15,68;;
NO;NO;NO;10189809;1;Sortiment;POINT OF COLOUR Seifenspender pink;POINT OF COLOUR soap dispenser magenta;720;CN;84798997;0,77;2,99;12;0,29;3,48;;4035644874966;9,24;;
NO;NO;NO;10189810;1;Sortiment;POINT OF COLOUR Seifenspender aubergine;POINT OF COLOUR soap dispenser aubergine;720;CN;84798997;0,81;2,99;12;0,29;3,48;;4035644874973;9,72;;
NO;NO;NO;10189811;1;Sortiment;POINT OF COLOUR Seifenspender rot;POINT OF COLOUR soap dispenser red;720;CN;84798997;0,78;2,99;24;0,29;6,96;;4035644874980;18,72;;
NO;NO;NO;10189812;1;Sortiment;POINT OF COLOUR Seifenspender lime;POINT OF COLOUR soap dispenser lime;720;CN;84798997;0,79;2,99;18;0,29;5,22;;4035644874997;14,22;;
NO;NO;NO;10189813;1;Sortiment;POINT OF COLOUR Seifenspender weiß;POINT OF COLOUR soap dispenser white;720;CN;84798997;0,78;2,99;18;0,29;5,22;;4035644875000;14,04;;
NO;NO;NO;10189814;1;Sortiment;POINT OF COLOUR Seifenspender blau;POINT OF COLOUR soap dispenser blue;720;CN;84798997;0,8;2,99;24;0,29;6,96;;4035644875017;19,2;;
NO;NO;NO;10189815;1;Sortiment;POINT OF COLOUR Seifenspender schwarz;POINT OF COLOUR soap dispenser black;720;CN;84798997;0,79;2,99;12;0,29;3,48;;4035644875024;9,48;;
NO;NO;NO;10190092;3;Möbel;CABOOSE Deckenleuchte weiß ( Filiale);CABOOSE hanging lamp white, incl. connec;664;IN;94051091;16,39;39,9;2;1,35;2,7;;4035644878162;32,78;;
NO;NO;NO;10190135;2;Textilien;POOLSIDE Saunatuch altrosa 90x150;POOLSIDE Bath towel ant. pink 90x150;52;TR;63026000;4,75;14,9;2;0,96;1,92;;4035644878667;9,5;;
NO;NO;NO;10190345;1;Sortiment;MENUETT Schneebesen 26,5cm L;MENUETT whisk 26,5cm L;720;CN;82055100;0,57;2,99;6;0,07;0,42;;4035644881056;3,42;;
NO;NO;NO;10190347;1;Sortiment;MENUETT Tortenheber;MENUETT cake server;720;CN;82159910;0,74;5,99;6;0,12;0,72;;4035644881087;4,44;;
NO;NO;NO;10190511;3;Möbel;SECRETARY Tischleuchte, rot;SECRETARY Desk lamp red  H75 ?20cm;720;CN;94052091;11,56;39,9;2;1,65;3,3;;4035644882435;23,12;;
NO;NO;NO;10190512;3;Möbel;SECRETARY Tischleuchte, weiß;SECRETARY Desk lamp white  H75 ?20cm;720;CN;94052091;11,58;39,9;2;1,65;3,3;;4035644882442;23,16;;
NO;NO;NO;10190513;3;Möbel;SECRETARY Tischleuchte, pink;SECRETARY Desk lamp pink H75 ?20cm;720;CN;94052091;11,56;39,9;2;1,65;3,3;;4035644882459;23,12;;
NO;NO;NO;10190514;3;Möbel;SECRETARY Tischleuchte, orange;SECRETARY Desk lamp orange H75;720;CN;94052091;11,56;39,9;2;1,65;3,3;;4035644882466;23,12;;
NO;NO;NO;10190516;3;Möbel;SECRETARY Tischleuchte, chrom;SECRETARY Desk lamp chrome H75;720;CN;94052091;13,32;39,9;2;1,65;3,3;;4035644882480;26,64;;
NO;NO;NO;10191844;1;Sortiment;MIX IT! Espressotasse lime 9cl;MIX IT! Espresso cup lime 9cl;720;CN;69120030;0,23;1,99;6;0,11;0,66;;4035644890331;1,38;;
NO;NO;NO;10191854;1;Sortiment;MIX IT! Frühstücksteller lime 20 cm;MIX IT! breakfast plate lime 20cm;720;CN;69120030;0,93;3,99;6;0,5;3;;4035644890447;5,58;;
NO;NO;NO;10191855;1;Sortiment;MIX IT! Frühstücksteller hellblau 20 cm;MIX IT! breakfast plate l'blue 20cm;720;CN;69120030;1,18;3,99;12;0,5;6;;4035644890454;14,16;;
NO;NO;NO;10191889;1;Sortiment;MIX IT! Mini mug hellblau;MIX IT! mini mug l'blue;720;CN;69120030;0,37;1,99;6;0,24;1,44;;4035644895688;2,22;;
NO;NO;NO;10192309;1;Sortiment;SUMATRA Schale ? 14 cm lime;SUMATRA bowl ? 14 cm lime;720;CN;69120050;0,73;2,99;6;0,29;1,74;;4035644898917;4,38;;
NO;NO;NO;10192312;1;Sortiment;SUMATRA Schale ? 18 cm grau;SUMATRA bowl ? 18 cm grey;720;CN;69120050;1,12;4,99;6;0,54;3,24;;4035644898948;6,72;;
NO;NO;NO;10192321;1;Sortiment;SUMATRA Teller ? 21 cm, grau;SUMATRA plate ? 21 cm grey;720;CN;69120050;1,15;4,99;6;0,54;3,24;;4035644899020;6,9;;
NO;NO;NO;10192326;1;Sortiment;SUMATRA Teller ? 25 cm lime;SUMATRA plate ? 25 cm lime;720;CN;69120050;1,62;6,99;4;0,9;3,6;;4035644899075;6,48;;
NO;NO;NO;10192857;1;Sortiment;OPEN Möbelknopf Glas, hellrosa;OPEN furniture knob glass, lightpink;664;IN;70139900;0,69;2,99;12;0,04;0,48;;4035644903000;8,28;;
NO;NO;NO;10192941;1;Sortiment;HANG UP Kleiderhaken 4er;HANG UP hanger/4 hooks;664;IN;83025000;3,5;19,9;2;0,3;0,6;;4035644903765;7;;
NO;NO;NO;10193043;1;Sortiment;OPEN Möbelknopf Blüte türkis;OPEN furniture knob blossom turquoise;664;IN;69149000;0,35;2,99;12;0,1;1,2;;4035644903154;4,2;;
NO;NO;NO;10193223;1;Sortiment;HANG UP Metall Wandhaken, hellgrau;HANG UP metal wall hook, lightgrey;664;IN;83025000;2,03;6,99;6;0,25;1,5;;4035644904908;12,18;;
NO;NO;NO;10193849;1;Sortiment;BANQUET Deko Teller 35cm;BANQUET decoration plate 35cm;664;IN;83062100;4,94;19,9;2;1,25;2,5;;4035644910329;9,88;;
NO;NO;NO;10194809;1;Sortiment;FIFTIES FOREVER Kurzzeitmesser hellblau;FIFTIES FOREVER Kitchen timer lightblue;720;CN;91069000;2,35;8,99;10;0,17;1,7;;4035644913122;23,5;;
NO;NO;NO;10195514;1;Sortiment;TRAVEL Fotoalbum 200 Fotos (10x15cm);TRAVEL Photo album 200 photos (10x15cm);720;CN;49030000;1,74;9,99;6;0,33;1,98;;4035644919049;10,44;;
NO;NO;NO;10196055;1;Sortiment;MEMORIES Rahmen 2er 13x18 father&daughte;MEMORIES double frame 13x18  father&daug;720;CN;44140090;2,71;4,99;3;1,16;3,48;;4035644929291;8,13;;
NO;NO;NO;10196064;1;Sortiment;"PURO Vorspeisenteller ""quadratisch""";"PURO appetiser plate ""quadr."" ?18cm";60;PL;69111000;1,01;2,49;6;0,32;1,92;;4035644929574;6,06;;
NO;NO;NO;10196067;1;Sortiment;"PURO Essteller ""quadratisch""";"PURO dinner plate ""quadr."" ?25cm";60;PL;69111000;1,48;3,99;12;0,74;8,88;;4035644929604;17,76;;
NO;NO;NO;10196080;1;Sortiment;PURO Pizzateller;PURO pizza plate ?30,5 cm;60;PL;69111000;1,37;3,99;6;0,96;5,76;;4035644929734;8,22;;
NO;NO;NO;10196082;1;Sortiment;PURO Pastateller weiß ? 30 cm;PURO pasta plate ?30 cm;60;PL;69111000;1,44;4,99;6;1;6;;4035644929758;8,64;;
NO;NO;NO;10196083;1;Sortiment;PURO Pastateller  ? 27 cm;PURO pasta plate ?27 cm;60;PL;69111000;1,31;2,99;6;0,84;5,04;;4035644929765;7,86;;
NO;NO;NO;10197252;1;Sortiment;JOURNAL Notizbuch A5 Paris;JOURNAL Notebook A5 Paris;720;CN;48201030;1,27;5,99;6;0,33;1,98;;4035644941194;7,62;;
NO;NO;NO;10197464;1;Sortiment;RAMBA ZAMBA Milchaufschäumkanne 3 Tassen;RAMBA ZAMBA milk foamer 3 cups;5;IT;73239300;6,97;16,9;6;0,34;2,04;;4035644943006;41,82;;
NO;NO;NO;10197624;1;Sortiment;OPEN Keramik Möbelknopf, weiß, small;OPEN furniture knob, white, small;664;IN;69139010;0,25;1,99;20;0,05;1;;4035644944874;5;;
